CrashSeverity,Latitude,Longitude
Property Damage Only,40.916617,-81.786127
Serious Injury Suspected,40.898998,-82.108525
Minor Injury Suspected,40.795815,-81.897923
Property Damage Only,40.691575,-81.704578
Property Damage Only,40.825045,-81.861341
Property Damage Only,40.804304,-81.765418
Minor Injury Suspected,40.741388,-81.745078
Minor Injury Suspected,40.887202,-81.821037
Minor Injury Suspected,40.724521,-81.784928
Property Damage Only,40.732063,-81.944217
Minor Injury Suspected,40.952272,-81.682999
Property Damage Only,40.784331,-81.900527
Property Damage Only,40.793661,-81.807662
Property Damage Only,40.822224,-81.774578
Injury Possible,40.842586,-81.691615
Property Damage Only,40.801089,-81.725979
Property Damage Only,40.712489,-82.00786
Property Damage Only,40.967889,-81.708996
